"ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","negLog10P","padj"
"ENSG00000110203",273.666666666667,138.285714285714,30.819467544475,7.29426221098025e-09,0.000104483011910081,1.03292573746983,"FOLR3","2352",8.1370186289116,0.000104483011910081
"ENSG00000068024",81.1666666666667,108.285714285714,14.7430162770334,1.30808791929683e-06,0.00500343338450636,0.664990765182161,"HDAC4","9759",5.88336306519962,0.00500343338450636
"ENSG00000112053",35.4166666666667,24.4285714285714,15.093972008003,1.39721680662004e-06,0.00500343338450636,0.566940440796868,"SLC26A8","116369",5.85473619903035,0.00500343338450636
"ENSG00000184060",25.25,28.5714285714286,12.6550954581582,3.75705932055679e-06,0.00760842062825543,0.510782775213388,"ADAP2","55803",5.42515194776677,0.00760842062825543
"ENSG00000187554",149.5,100.571428571429,17.7155002165128,7.14223709338729e-07,0.00500343338450636,0.480595520862581,"TLR5","7100",6.14616573708349,0.00500343338450636
"ENSG00000255717",-34,36.4285714285714,-12.758153976263,4.07045643296557e-06,0.00760842062825543,0.444684494533795,"SNHG1","23642",5.39035688925045,0.00760842062825543
"ENSG00000187531",85.5833333333334,98.4285714285714,12.838366867275,4.24932735451295e-06,0.00760842062825543,0.404450994596832,"SIRT7","51547",5.37167981097159,0.00760842062825543
"ENSG00000168297",33.3333333333334,59.2857142857143,11.5584396525495,6.98902088628762e-06,0.00916509210419209,0.400250000449025,"PXK","54899",5.15558366166011,0.00916509210419209
"ENSG00000140688",-20,21.4285714285714,-11.0136155319919,9.7080998966133e-06,0.00993277306564921,0.334997670631719,"RUSF1","64755",5.01286576341502,0.00993277306564921
"ENSG00000205565",40.25,23,13.5980060087934,4.20746737750748e-06,0.00760842062825543,0.261754466787951,NA,NA,5.37597924263043,0.00760842062825543
"ENSG00000205581",-55.5,106.714285714286,-10.2857789222084,1.54187364334767e-05,0.0129916459219482,0.234559791447815,"HMGN1","3150",4.81195121528982,0.0129916459219482
"ENSG00000203999",43.25,28.2857142857143,13.2078451674735,5.26837203176736e-06,0.00838490677589284,0.214892981145535,"LINC01270","284751",5.27832356445461,0.00838490677589284
"ENSG00000185482",30.0833333333333,23.1428571428571,11.6460510709697,9.49063673088066e-06,0.00993277306564921,0.205840220898698,"STAC3","246329",5.02270464959257,0.00993277306564921
"ENSG00000248996",25.0833333333333,23,10.7399684783014,1.40473004371836e-05,0.0129266570126766,0.181937701540554,NA,NA,4.85240712898893,0.0129266570126766
"ENSG00000123119",10.25,5.14285714285714,9.89301427929735,2.00348022725273e-05,0.0146476632585736,0.172992459625669,"NECAB1","64168",4.69821493934928,0.0146476632585736
"ENSG00000145555",10.3333333333333,6.42857142857143,9.86267995690902,2.04519174233086e-05,0.0146476632585736,0.167998009936877,"MYO10","4651",4.68926596944999,0.0146476632585736
"ENSG00000257923",86.75,129.428571428571,9.54501689259692,2.55569267542696e-05,0.0147345574750693,0.111239806688443,"CUX1","1523",4.59249137171505,0.0147345574750693
"ENSG00000134571",69.5,48.2857142857143,12.9409212209119,7.03825838774874e-06,0.00916509210419209,0.109689687602658,"MYBPC3","4607",5.15253479343808,0.00916509210419209
"ENSG00000187775",73.3333333333334,49.4285714285714,12.6263650748528,8.21386794452236e-06,0.00980462036977819,0.0861638706652981,"DNAH17","8632",5.08545228363799,0.00980462036977819
"ENSG00000001084",-12.1666666666667,14.2857142857143,-9.27166671219443,3.09083584034443e-05,0.0147345574750693,0.0631236387257665,"GCLC","2729",4.50992406045782,0.0147345574750693
"ENSG00000177302",25.5833333333333,55.7142857142857,9.22826381409751,3.18885284646151e-05,0.0147345574750693,0.0548161802686185,"TOP3A","7156",4.49636552134791,0.0147345574750693
"ENSG00000213699",32.5833333333333,42.7142857142857,9.82947494540535,2.75852514449097e-05,0.0147345574750693,-0.00516457005377635,"SLC35F6","54978",4.55932305300988,0.0147345574750693
"ENSG00000168404",101.416666666667,122.714285714286,9.8861293530076,2.7028066095315e-05,0.0147345574750693,-0.00640837795818783,"MLKL","197259",4.56818502770786,0.0147345574750693
"ENSG00000226091",89.75,61.7142857142857,11.5368465039287,1.44391589083235e-05,0.0129266570126766,-0.00830591698280969,"LINC00937","389634",4.8404581040041,0.0129266570126766
